No.,Pos.,Player,Date of birth (age),Caps,Club,Country
1,GK,Cláudio Taffarel,8 May 1966 (aged 32),94,Atlético Mineiro,Brazil
2,DF,Cafu,7 June 1970 (aged 28),64,Roma,Brazil
3,DF,Aldair,30 November 1965 (aged 32),66,Roma,Brazil
4,DF,Júnior Baiano,14 March 1970 (aged 28),17,Flamengo,Brazil
5,MF,César Sampaio,31 March 1968 (aged 30),34,Yokohama Flügels,Brazil
6,DF,Roberto Carlos,10 April 1973 (aged 25),46,Real Madrid,Brazil
7,MF,Giovanni,4 February 1972 (aged 26),14,Barcelona,Brazil
8,MF,Dunga (captain),31 October 1963 (aged 34),84,Júbilo Iwata,Brazil
9,FW,Ronaldo,22 September 1976 (aged 21),37,Inter Milan,Brazil
10,MF,Rivaldo,19 April 1972 (aged 26),15,Barcelona,Brazil
11,MF,Emerson,4 April 1976 (aged 22),3,Bayer Leverkusen,Brazil
12,GK,Carlos Germano,14 August 1970 (aged 27),9,Vasco da Gama,Brazil
13,DF,Zé Carlos,14 November 1968 (aged 29),0,São Paulo,Brazil
14,DF,Marcelo Gonçalves,22 February 1966 (aged 32),22,Botafogo,Brazil
15,DF,André Cruz,20 September 1968 (aged 29),31,Milan,Brazil
16,MF,Zé Roberto,6 July 1974 (aged 23),20,Flamengo,Brazil
17,MF,Doriva,28 May 1972 (aged 26),11,Porto,Brazil
18,MF,Leonardo,5 September 1969 (aged 28),45,Milan,Brazil
19,MF,Denílson,24 August 1977 (aged 20),26,São Paulo,Brazil
20,FW,Bebeto,16 February 1964 (aged 34),68,Botafogo,Brazil
21,FW,Edmundo,2 April 1971 (aged 27),33,Fiorentina,Brazil
22,GK,Dida,7 October 1973 (aged 24),15,Cruzeiro,Brazil
1,GK,Abdelkader El Brazi,5 November 1964 (aged 33),37,FAR Rabat,Morocco
2,DF,Abdelilah Saber,21 April 1974 (aged 24),25,Sporting CP,Morocco
3,DF,Abdelkrim El Hadrioui,6 March 1972 (aged 26),59,Benfica,Morocco
4,DF,Youssef Rossi,28 June 1973 (aged 24),20,Rennes,Morocco
5,DF,Smahi Triki,1 August 1967 (aged 30),16,Lausanne,Morocco
6,DF,Noureddine Naybet (captain),10 February 1970 (aged 28),91,Deportivo La Coruña,Morocco
7,MF,Mustapha Hadji,16 November 1971 (aged 26),42,Deportivo La Coruña,Morocco
8,MF,Saïd Chiba,18 September 1970 (aged 27),23,Compostela,Morocco
9,FW,Abdeljalil Hadda,21 March 1972 (aged 26),11,Club Africain,Morocco
10,FW,Abderrahim Ouakili,11 December 1970 (aged 27),8,1860 Munich,Morocco
11,MF,Ali Elkhattabi,17 January 1977 (aged 21),6,Heerenveen,Morocco
12,GK,Driss Benzekri,31 December 1970 (aged 27),6,RS Settat,Morocco
13,DF,Rachid Neqrouz,10 April 1972 (aged 26),13,Bari,Morocco
14,FW,Salaheddine Bassir,5 September 1972 (aged 25),26,Deportivo La Coruña,Morocco
15,DF,Lahcen Abrami,31 December 1969 (aged 28),41,Wydad Casablanca,Morocco
16,MF,Rachid Azzouzi,10 January 1971 (aged 27),35,Greuther Fürth,Morocco
17,MF,Gharib Amzine,3 May 1973 (aged 25),2,Mulhouse,Morocco
18,MF,Youssef Chippo,10 May 1973 (aged 25),20,Porto,Morocco
